文件名	阶数6上表面	阶数6下表面	阶数6总误差	阶数8上表面	阶数8下表面	阶数8总误差	阶数10上表面	阶数10下表面	阶数10总误差	三阶总和
e547.csv	0.017697	0.013963	0.031659	0.008757	0.007577	0.016334	0.007146	0.005687	0.012833	0.060826
e551.csv	0.018745	0.017545	0.036290	0.009316	0.006774	0.016090	0.007234	0.006540	0.013774	0.066155
e555.csv	0.016120	0.016439	0.032558	0.009378	0.005688	0.015066	0.005795	0.005397	0.011193	0.058817
e557.csv	0.015361	0.015687	0.031048	0.008337	0.006165	0.014501	0.004820	0.004972	0.009792	0.055342
e585.csv	0.012480	0.010040	0.022520	0.008283	0.009004	0.017286	0.005776	0.007881	0.013657	0.053464
e598.csv	0.013316	0.010014	0.023330	0.007044	0.009817	0.016861	0.006088	0.009735	0.015823	0.056014
e603.csv	0.036194	0.006217	0.042411	0.037423	0.004004	0.041427	0.033702	0.002765	0.036467	0.120305
e642.csv	0.012581	0.013895	0.026477	0.008682	0.009932	0.018614	0.005476	0.010010	0.015486	0.060577
e657.csv	0.015533	0.013168	0.028701	0.008016	0.012275	0.020290	0.007349	0.012307	0.019656	0.068647
e664.csv	0.012589	0.017748	0.030337	0.006107	0.015135	0.021243	0.005420	0.012522	0.017942	0.069521
e678.csv	0.015971	0.014548	0.030519	0.016288	0.014351	0.030639	0.009745	0.014706	0.024451	0.085609
e682.csv	0.017223	0.015493	0.032716	0.007002	0.011282	0.018284	0.006292	0.010997	0.017289	0.068289
e694.csv	0.015074	0.012985	0.028058	0.009495	0.012244	0.021739	0.009279	0.011750	0.021028	0.070826
e71.csv	0.009653	0.005825	0.015478	0.005817	0.003570	0.009388	0.003977	0.002986	0.006963	0.031828
e817.csv	0.016047	0.008416	0.024464	0.009414	0.008117	0.017531	0.006127	0.006153	0.012280	0.054274
e851.csv	0.011176	0.007901	0.019077	0.005972	0.004872	0.010844	0.004069	0.004409	0.008478	0.038398
e854.csv	0.018673	0.007490	0.026163	0.010521	0.003178	0.013699	0.007490	0.002727	0.010216	0.050078
e858.csv	0.013899	0.018528	0.032427	0.011902	0.017650	0.029552	0.006582	0.016563	0.023145	0.085124
e862.csv	0.013295	0.013295	0.026589	0.004512	0.004512	0.009023	0.003172	0.003172	0.006345	0.041958
e864.csv	0.020050	0.018163	0.038214	0.006313	0.004634	0.010948	0.005701	0.004010	0.009711	0.058873
e874.csv	0.015172	0.022196	0.037368	0.008450	0.010629	0.019079	0.004847	0.008716	0.013564	0.070011
e904.csv	0.019808	0.013753	0.033561	0.011202	0.010340	0.021541	0.005796	0.005267	0.011063	0.066166
ea81006.csv	0.004141	0.004141	0.008282	0.003505	0.003505	0.007010	0.000146	0.000146	0.000292	0.015583
eh2012.csv	0.016028	0.003846	0.019874	0.008622	0.002349	0.010970	0.004841	0.001232	0.006073	0.036917
eiffel10.csv	0.079838	0.002081	0.081919	0.070404	0.001907	0.072311	0.063191	0.000883	0.064074	0.218304
eiffel371.csv	0.108629	0.139535	0.248164	0.097611	0.116115	0.213726	0.089822	0.094286	0.184108	0.645998
eiffel430.csv	0.098488	0.078933	0.177421	0.071465	0.067752	0.139217	0.068437	0.065566	0.134003	0.450641
fg1.csv	0.037284	0.029036	0.066320	0.034345	0.027874	0.062219	0.031184	0.027149	0.058333	0.186872
fx057816.csv	0.009494	0.001820	0.011314	0.005022	0.001627	0.006648	0.000000	0.000000	0.000000	0.017963
fx05h126.csv	0.007948	0.006167	0.014115	0.006738	0.004015	0.010753	0.004100	0.002477	0.006577	0.031444
fx2.csv	0.017593	0.010500	0.028093	0.005990	0.005472	0.011462	0.004872	0.005206	0.010077	0.049633
fx3.csv	0.028306	0.024006	0.052313	0.012102	0.009884	0.021986	0.008077	0.010936	0.019013	0.093312
fx601001.csv	0.005157	0.006060	0.011218	0.002510	0.005796	0.008307	0.001607	0.004321	0.005928	0.025452
fx60100sm.csv	0.008868	0.006658	0.015526	0.007599	0.005028	0.012627	0.006150	0.004721	0.010870	0.039023
fx60177.csv	0.011248	0.025008	0.036257	0.009773	0.013083	0.022856	0.008104	0.009831	0.017935	0.077048
fx61147.csv	0.017095	0.017125	0.034220	0.008661	0.007813	0.016474	0.006130	0.007124	0.013254	0.063948
fx61163.csv	0.018158	0.018699	0.036858	0.010370	0.006866	0.017236	0.004951	0.006044	0.010995	0.065089
fx63137.csv	0.012659	0.011115	0.023774	0.011095	0.010206	0.021301	0.009885	0.009250	0.019135	0.064210
fx63137sm.csv	0.012171	0.009046	0.021216	0.011324	0.007989	0.019313	0.010284	0.007576	0.017860	0.058389
fx63143.csv	0.017906	0.021584	0.039490	0.011580	0.014435	0.026015	0.010798	0.014453	0.025251	0.090756
fx63145.csv	0.027294	0.015805	0.043099	0.020407	0.014699	0.035106	0.019007	0.014016	0.033023	0.111228
fx66182.csv	0.020220	0.007721	0.027942	0.007660	0.006196	0.013856	0.005539	0.003593	0.009132	0.050930
fx67k170.csv	0.008950	0.009136	0.018086	0.004397	0.004471	0.008868	0.003913	0.002854	0.006767	0.033721
fx69h083.csv	0.007792	0.003235	0.011027	0.006478	0.000997	0.007475	0.003772	0.000917	0.004689	0.023192
fx69pr281.csv	0.028466	0.036660	0.065126	0.021169	0.022093	0.043262	0.014854	0.010850	0.025704	0.134092
fx73cl1152.csv	0.020408	0.022426	0.042834	0.012215	0.008303	0.020518	0.006905	0.003611	0.010516	0.073867
fx74130wp2.csv	0.019662	0.011948	0.031610	0.009943	0.009183	0.019127	0.009353	0.005337	0.014690	0.065426
fx74130wp2mod.csv	0.024177	0.011791	0.035968	0.012733	0.009934	0.022667	0.011146	0.005940	0.017086	0.075721
fx74cl5140.csv	0.034382	0.030503	0.064885	0.009867	0.019000	0.028867	0.009707	0.014296	0.024003	0.117755
fx78k140a20.csv	0.033172	0.016723	0.049895	0.016174	0.013169	0.029343	0.016754	0.007387	0.024142	0.103380
fx84w097.csv	0.005339	0.006336	0.011675	0.002672	0.003213	0.005885	0.001904	0.001831	0.003735	0.021295
fx84w175.csv	0.007847	0.009778	0.017624	0.003693	0.004975	0.008668	0.002475	0.002729	0.005204	0.031496
fx84w218.csv	0.005882	0.007817	0.013699	0.002811	0.003777	0.006588	0.001875	0.001724	0.003599	0.023886
fxl142k.csv	0.020285	0.020285	0.040569	0.015916	0.015916	0.031831	0.012752	0.012752	0.025503	0.097904
fxm2.csv	0.015420	0.037920	0.053340	0.012476	0.016023	0.028498	0.012437	0.011705	0.024142	0.105980
fxs21158.csv	0.032797	0.015695	0.048493	0.014341	0.012279	0.026619	0.011514	0.009727	0.021241	0.096353
giiib.csv	0.010616	0.001933	0.012549	0.001583	0.001908	0.003491	0.001270	0.000854	0.002124	0.018165
giiic.csv	0.007482	0.002266	0.009748	0.001688	0.002209	0.003897	0.000732	0.000943	0.001675	0.015320
giiid.csv	0.006222	0.002345	0.008567	0.001952	0.002305	0.004257	0.000626	0.000915	0.001541	0.014365
giiie.csv	0.002384	0.002643	0.005027	0.002094	0.002525	0.004619	0.001221	0.000651	0.001872	0.011518
giiif.csv	0.003303	0.003196	0.006499	0.001479	0.002912	0.004390	0.001008	0.001137	0.002145	0.013035
giiii.csv	0.003173	0.009400	0.012573	0.001188	0.004966	0.006154	0.000693	0.001275	0.001968	0.020695
giiik.csv	0.003682	0.014987	0.018669	0.002641	0.008181	0.010822	0.000910	0.002787	0.003697	0.033188
giiin.csv	0.004475	0.022091	0.026566	0.003125	0.005129	0.008254	0.001030	0.002285	0.003315	0.038135
glennmartin3.csv	0.070974	0.077913	0.148887	0.065874	0.063223	0.129097	0.059916	0.058759	0.118675	0.396659
glennmartin4.csv	0.059148	0.058848	0.117996	0.055422	0.052678	0.108100	0.049008	0.046244	0.095253	0.321349
gm15sm.csv	0.014861	0.007208	0.022070	0.010170	0.005328	0.015498	0.006382	0.003903	0.010286	0.047854
goe09k.csv	0.000632	0.000320	0.000951	0.000602	0.000204	0.000806	0.000185	0.000104	0.000289	0.002046
goe124.csv	0.005993	0.013526	0.019519	0.005999	0.008106	0.014105	0.001690	0.001033	0.002723	0.036348
goe134.csv	0.004101	0.009234	0.013335	0.004188	0.005580	0.009769	0.003079	0.003004	0.006083	0.029187
goe14k.csv	0.003707	0.001666	0.005373	0.001533	0.000857	0.002389	0.001554	0.000246	0.001800	0.009562
goe15.csv	0.010328	0.015899	0.026227	0.007581	0.009707	0.017288	0.001724	0.007261	0.008985	0.052500
goe167.csv	0.008884	0.006217	0.015101	0.008370	0.002882	0.011252	0.005995	0.001964	0.007959	0.034311
goe174.csv	0.006590	0.008574	0.015164	0.005711	0.007507	0.013217	0.004259	0.003198	0.007457	0.035838
goe176.csv	0.011913	0.004046	0.015959	0.010896	0.004012	0.014908	0.010134	0.001388	0.011522	0.042388
goe184.csv	0.007695	0.005982	0.013677	0.005821	0.005740	0.011561	0.005545	0.004007	0.009552	0.034790
goe188.csv	0.003051	0.001151	0.004201	0.002863	0.000702	0.003565	0.002575	0.000383	0.002958	0.010725
goe190.csv	0.004307	0.004533	0.008840	0.002653	0.002953	0.005606	0.002858	0.002907	0.005764	0.020210
goe195.csv	0.004828	0.011100	0.015928	0.004569	0.004310	0.008879	0.004213	0.002574	0.006788	0.031595
goe198.csv	0.008140	0.014272	0.022412	0.006581	0.004191	0.010772	0.006485	0.003181	0.009666	0.042850
goe217.csv	0.008009	0.017342	0.025351	0.007629	0.008072	0.015701	0.004261	0.001566	0.005827	0.046879
goe225.csv	0.009685	0.004398	0.014083	0.006981	0.004125	0.011106	0.003133	0.003146	0.006279	0.031468
